Date,v.speed,u.speed
3/1/1949,5.990001854,2.420001933
3/2/1949,10.32000176,0.300001981
3/3/1949,8.870001789,-0.289998006
3/4/1949,7.090001829,0.370001979
3/5/1949,5.27000187,-9.269997805
3/6/1949,6.250001848,-9.639997797
3/7/1949,10.69000175,-8.689997818
3/8/1949,10.79000175,-1.46999798
3/9/1949,10.27000176,-14.76999768
3/10/1949,9.670001771,-1.189997986
3/11/1949,4.470001888,2.250001937
3/12/1949,10.52000175,-6.789997861
3/13/1949,10.44000175,-7.28999785
3/14/1949,6.920001833,-7.71999784
3/15/1949,5.490001865,-9.839997793
3/16/1949,3.8900019,-6.709997863
3/17/1949,0.250001982,-1.88999797
3/18/1949,6.720001837,-3.139997942
3/19/1949,1.25000196,-3.339997938
3/20/1949,6.040001852,-4.689997908
3/21/1949,13.40000169,0.150001984
3/22/1949,12.30000171,9.000001786
3/23/1949,1.520001953,6.620001839
3/24/1949,-4.60999791,7.870001812
3/25/1949,-4.459997913,2.57000193
3/26/1949,2.790001925,5.500001865
3/27/1949,-4.669997908,4.770001881
3/28/1949,-9.389997803,5.990001854
3/29/1949,-4.789997905,-1.659997975
3/30/1949,-15.58999766,-8.189997829
3/31/1949,-12.61999773,3.770001903
4/1/1949,-6.989997856,1.570001952
4/2/1949,-8.789997816,4.400001889
4/3/1949,-7.559997844,7.140001828
4/4/1949,-2.049997967,-7.319997849
4/5/1949,-10.05999779,-5.609997887
4/6/1949,-7.959997835,3.390001912
4/7/1949,-8.809997816,2.790001925
4/8/1949,-2.939997947,5.070001874
4/9/1949,4.760001881,0.250001982
4/10/1949,4.870001879,-10.51999778
4/11/1949,2.820001924,-0.169998009
4/12/1949,-0.499998001,1.650001951
4/13/1949,1.720001949,-2.609997954
4/14/1949,2.500001932,-11.93999775
4/15/1949,-2.519997956,-6.739997862
4/16/1949,2.020001942,-1.819997972
4/17/1949,-0.619997999,-5.739997884
4/18/1949,0.250001982,-3.439997936
4/19/1949,-3.909997925,2.270001937
4/20/1949,-6.339997871,7.070001829
4/21/1949,-4.239997918,3.9200019
4/22/1949,2.320001936,2.55000193
4/23/1949,-4.439997913,5.840001857
4/24/1949,-1.00999799,-7.839997837
4/25/1949,-5.789997883,-2.409997959
4/26/1949,-5.459997891,2.460001932
4/27/1949,-7.73999784,4.82000188
4/28/1949,-4.689997908,5.040001875
4/29/1949,3.8900019,6.240001848
4/30/1949,2.390001934,7.590001818
5/1/1949,-6.159997875,7.990001809
5/2/1949,-2.669997953,4.590001885
5/3/1949,-1.489997979,4.120001895
5/4/1949,-6.519997867,0.77000197
5/5/1949,-1.389997981,-1.339997983
5/6/1949,-1.089997988,-10.48999778
5/7/1949,0.270001981,-9.559997799
5/8/1949,-3.769997928,-4.309997916
5/9/1949,-3.729997929,-1.089997988
5/10/1949,2.970001921,-7.319997849
5/11/1949,4.300001891,-2.039997967
5/12/1949,-3.059997944,4.440001888
5/13/1949,-1.419997981,7.220001826
5/14/1949,2.170001939,1.020001965
5/15/1949,-0.719997996,-5.339997893
5/16/1949,-6.319997871,-4.60999791
5/17/1949,1.940001944,-1.539997978
5/18/1949,4.540001886,-6.289997872
5/19/1949,6.970001832,-7.239997851
5/20/1949,5.600001862,-3.459997935
5/21/1949,4.670001883,-0.439998003
5/22/1949,5.200001871,1.450001955
5/23/1949,10.79000175,1.550001953
5/24/1949,8.620001795,-0.819997994
5/25/1949,4.34000189,1.500001954
5/26/1949,1.370001957,-0.289998006
5/27/1949,9.320001779,-3.739997929
5/28/1949,7.240001826,-1.389997981
5/29/1949,2.190001938,-1.199997986
5/30/1949,-2.539997956,-3.209997941
5/31/1949,-2.689997952,-1.01999799
6/1/1949,-1.789997973,0.79000197
6/2/1949,-3.269997939,-0.039998012
6/3/1949,-2.759997951,0.620001974
6/4/1949,-0.389998004,-0.11999801
6/5/1949,1.890001945,-1.689997975
6/6/1949,0.080001986,-2.589997955
6/7/1949,1.190001961,-0.349998005
6/8/1949,1.920001945,2.14000194
6/9/1949,2.470001932,1.050001964
6/10/1949,0.470001977,-10.66999777
6/11/1949,-5.91999788,-9.909997791
6/12/1949,-5.289997894,0.850001968
6/13/1949,-4.239997918,5.150001872
6/14/1949,1.25000196,3.250001915
6/15/1949,7.190001827,-1.91999797
6/16/1949,1.800001947,-2.459997958
6/17/1949,6.320001846,-2.039997967
6/18/1949,3.820001902,2.740001926
6/19/1949,2.620001929,-3.879997926
6/20/1949,3.190001916,1.450001955
6/21/1949,2.320001936,1.750001948
6/22/1949,-4.439997913,-0.289998006
6/23/1949,0.420001978,-0.11999801
6/24/1949,0.050001986,5.27000187
6/25/1949,1.190001961,4.300001891
6/26/1949,-0.709997997,-0.169998009
6/27/1949,3.540001908,3.870001901
6/28/1949,-3.439997936,5.170001872
6/29/1949,-2.759997951,-0.369998004
6/30/1949,2.720001927,-4.219997918
7/1/1949,0.920001967,2.490001932
7/2/1949,-0.239998007,0.80000197
7/3/1949,-1.45999798,-0.719997996
7/4/1949,-0.969997991,-1.88999797
7/5/1949,1.99E-06,-1.519997979
7/6/1949,-0.639997998,-0.339998005
7/7/1949,4.690001883,1.770001948
7/8/1949,1.320001958,0.35000198
7/9/1949,-0.789997995,-4.339997916
7/10/1949,0.970001966,-7.089997854
7/11/1949,-1.069997989,-5.109997898
7/12/1949,-3.619997932,1.22000196
7/13/1949,2.720001927,0.950001966
7/14/1949,9.620001772,0.35000198
7/15/1949,8.970001787,2.250001937
7/16/1949,5.740001859,-1.939997969
7/17/1949,8.770001791,1.050001964
7/18/1949,2.990001921,6.320001846
7/19/1949,3.870001901,7.740001814
7/20/1949,3.690001905,3.620001907
7/21/1949,2.050001942,3.570001908
7/22/1949,5.590001862,5.790001858
7/23/1949,2.240001937,4.270001892
7/24/1949,-1.639997976,5.120001873
7/25/1949,2.650001928,2.040001942
7/26/1949,-1.839997971,4.320001891
7/27/1949,0.990001965,8.200001804
7/28/1949,1.600001952,9.420001777
7/29/1949,1.590001952,7.49000182
7/30/1949,1.700001949,5.010001875
7/31/1949,3.620001907,-0.519998001
8/1/1949,-0.139998009,-2.319997961
8/2/1949,2.970001921,-0.189998008
8/3/1949,4.020001898,2.410001934
8/4/1949,7.04000183,7.420001822
8/5/1949,4.440001888,7.520001819
8/6/1949,4.720001882,9.410001777
8/7/1949,6.220001848,6.920001833
8/8/1949,0.700001972,6.820001835
8/9/1949,2.150001939,1.69000195
8/10/1949,9.790001769,3.740001904
8/11/1949,5.190001871,9.140001783
8/12/1949,3.370001912,6.520001842
8/13/1949,-0.319998005,6.040001852
8/14/1949,0.700001972,8.170001805
8/15/1949,-0.589997999,5.970001854
8/16/1949,-1.039997989,6.17000185
8/17/1949,5.740001859,-0.99999799
8/18/1949,7.200001827,-2.939997947
8/19/1949,7.320001824,-2.319997961
