Year,Age,Weight,Length,Sex,Maturity
2002,7,3.77,700,Female,3
2002,8,1.27,510,Male,1
2002,5,1.77,560,Female,2
2002,31,3.7,710,Male,3
2002,27,3.7,690,Male,6
2002,11,4.8,710,Female,6
2002,14,5.5,770,Female,3
2002,9,3.4,660,Female,3
2002,8,2.7,620,Female,2
2002,7,3.2,650,Female,2
2002,23,3,620,Male,6
2002,24,2.9,650,Male,3
2002,9,3.6,710,Female,3
2002,7,2,550,Female,2
2002,8,1.8,560,Female,2
2002,24,4.8,760,Male,3
2002,32,8.8,920,Female,3
2002,9,3.7,680,Female,3
2002,9,3.2,620,Male,5
2002,23,6.2,790,Male,3
2002,8,4.7,710,Female,5
2002,8,4.2,680,Female,3
2002,6,1.9,580,Female,2
2002,14,3.5,580,Male,6
2002,34,3.3,650,Male,3
2002,28,7.4,670,Male,6
2002,5,1.2,520,Female,1
2002,10,3,630,Male,3
2002,7,1.3,490,Male,1
2002,7,2,560,Male,1
2002,39,2.5,620,Male,6
2002,28,3.7,660,Male,3
2002,10,3.6,650,Male,3
2002,24,4.3,700,Female,3
2002,24,7.8,880,Female,3
2002,24,9,910,Female,3
2002,7,4.6,760,Female,3
2002,10,2.9,620,Male,6
2002,19,6,800,Female,3
2002,7,3.5,690,Female,2
2002,27,3.2,630,Male,3
2002,35,4.1,700,Male,3
2002,11,1.7,550,Female,1
2002,7,5.6,770,Male,3
2002,8,3.5,640,Male,2
2002,11,2.4,650,Female,3
2002,8,1.5,520,Male,1
2002,8,4,680,Female,3
2002,7,3.4,670,Female,3
2002,27,10.5,940,Female,3
2002,10,3,650,Male,2
2002,42,3.3,630,Male,3
2002,18,3.7,770,Male,3
2002,14,6.5,770,Male,3
2002,16,5.5,580,Male,1
2002,9,2.6,610,Female,2
2002,23,4.6,740,Female,3
2002,16,5.8,620,Male,3
2002,15,4.2,680,Male,3
2002,29,8.2,880,Female,3
2002,31,4.5,700,Male,3
2002,6,2.5,590,Female,2
2002,27,2.5,590,Male,3
2002,26,3.7,680,Male,3
2002,46,6.3,830,Female,6
2002,6,1.9,550,Male,2
2002,27,4.2,700,Male,3
2002,13,2.6,630,Female,2
2002,27,4.3,750,Female,5
2002,6,2.7,620,Male,6
2002,10,3.2,650,Male,6
2002,6,3.2,620,Male,2
2002,8,2.6,620,Male,3
2002,17,6.4,820,Female,3
2002,6,2.4,600,Female,2
2002,5,3,630,Male,2
2002,23,7,700,Male,3
2002,5,3.92,690,Female,2
2002,8,4.2,700,Female,3
2002,26,3.5,710,Male,3
2002,13,4,700,Female,3
2002,9,3.7,690,Female,3
2002,7,3.9,660,Female,3
2002,7,3.5,590,Male,3
2002,7,2.8,610,Male,6
2002,45,4.4,710,Male,6
2002,44,3.2,650,Male,3
2002,8,1.6,540,Male,2
2002,6,3.1,620,Male,2
2002,4,2.4,580,Male,3
2002,8,1.9,570,Female,2
2002,14,6.9,690,Male,3
2002,21,5,700,Male,3
2002,6,4.7,720,Male,3
2002,9,3.5,670,Male,3
2002,25,7.8,880,Male,3
2002,24,4,690,Male,6
2002,8,3.2,630,Male,6
2002,9,2.5,620,Male,2
2002,8,3.7,640,Male,2
2002,14,4,680,Male,3
2002,6,3.7,650,Male,3
2002,10,3.6,640,Male,3
2002,20,3.2,650,Male,3
2002,5,2.9,610,Male,2
2002,26,4.8,760,Female,5
2002,18,7.4,890,Female,3
2002,8,2.7,640,Female,2
2002,9,3,620,Female,3
2002,19,3.2,680,Male,3
2002,44,5.1,740,Male,6
2002,27,3.7,660,Male,6
2002,13,4.8,730,Male,3
2002,20,3.7,700,Male,3
2002,24,3.7,640,Male,3
2002,9,3,610,Male,2
2002,10,2.2,590,Male,2
2002,9,3.8,700,Male,6
2002,9,3.8,680,Female,2
2002,26,2.8,620,Male,6
2002,23,4.2,680,Male,6
2002,26,3.4,650,Male,6
2002,25,4.2,710,Male,6
2002,15,4,700,Female,6
2002,8,1.3,510,Female,1
2002,7,2.7,620,Male,3
2002,12,5.7,810,Female,6
2002,45,4.5,690,Male,6
2002,16,4,700,Female,3
2002,45,3.3,670,Male,6
2002,7,1.6,540,Male,2
2002,6,2.3,600,Female,2
2002,28,8,880,Female,3
2002,5,1.8,550,Female,1
2002,6,3.6,680,Female,3
2002,7,1.9,560,Female,1
2002,45,6.8,780,Male,6
2002,9,2.2,580,Male,3
2002,11,1.8,560,Female,2
2002,11,1.6,530,Male,1
2002,7,3,620,Male,3
