Survey,Year,Cruise Join ID,Haul Join ID,Cruise Number,Vessel Number,Haul Number,Starting Latitude (dd),Starting Longitude (dd),Ending Latitude (dd),Ending Longitude (dd),Stratum,Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Stratum Regulatory Area Name,Stratum Type,Domain,Density,Gear Performance,Satifactory Gear Performance,Gear Performance Description,Gear Depth,Bottom Depth,Specimen ID,Biostratum,Species Code,Common Name,Scientific Name,Length (mm),Sex,Weight (gm),Age (years),Maturity,Maturity Table,Gonad Weight,Specimen Subsample Method,Specimen Sample Type,Age Determination Method,AKFIN Load Date
EBS_SHELF,2016,-707,-15758,201601,162,167,61.00264,-176.9596,60.99473,-177.00677,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,119,121,117,0,10115,Greenland turbot,Reinhardtius hippoglossoides,860,Female,6335,16,,,,6,1,8,16-Oct-20
EBS_SHELF,2016,-707,-15758,201601,162,167,61.00264,-176.9596,60.99473,-177.00677,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,119,121,125,0,10115,Greenland turbot,Reinhardtius hippoglossoides,480,Female,905,6,,,,6,1,8,16-Oct-20
EBS_SHELF,2016,-707,-15758,201601,162,167,61.00264,-176.9596,60.99473,-177.00677,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,119,121,128,0,10115,Greenland turbot,Reinhardtius hippoglossoides,410,Male,615,4,,,,6,1,8,16-Oct-20
EBS_SHELF,2016,-707,-15759,201601,162,168,60.99955,-177.60973,60.99767,-177.66093,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,133,135,129,0,10115,Greenland turbot,Reinhardtius hippoglossoides,570,Female,1920,8,,,,6,1,8,16-Oct-20
EBS_SHELF,2016,-707,-15759,201601,162,168,60.99955,-177.60973,60.99767,-177.66093,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,133,135,136,0,10115,Greenland turbot,Reinhardtius hippoglossoides,440,Male,645,4,,,,6,1,8,16-Oct-20
EBS_SHELF,2018,-723,-18154,201801,162,185,60.97705,-176.96182,60.99924,-176.98612,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,120,122,36,0,10115,Greenland turbot,Reinhardtius hippoglossoides,780,Male,4136,14,,,,6,1,8,16-Oct-20
EBS_SHELF,2018,-723,-18156,201801,162,187,61.31881,-177.02412,61.33755,-176.99081,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,115,117,39,0,10115,Greenland turbot,Reinhardtius hippoglossoides,640,Male,2246,8,,,,6,1,3,16-Oct-20
EBS_SHELF,2018,-723,-18157,201801,162,188,61.66566,-176.5102,61.66752,-176.4578,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,103,105,48,0,10115,Greenland turbot,Reinhardtius hippoglossoides,490,Male,812,6,,,,6,1,8,16-Oct-20
EBS_SHELF,2017,-712,-17039,201701,94,189,60.68029,-174.79763,60.66109,-174.79908,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,1.12,Y,Hauled back early due to hang(s),96,98,15,0,10115,Greenland turbot,Reinhardtius hippoglossoides,500,Male,1114,7,,,,6,1,8,16-Oct-20
EBS_SHELF,2017,-711,-16981,201701,162,132,60.0029,-173.35479,59.99463,-173.31833,43,,,,"50-100m in NW section, high density, St.Matthew - MIDDLE DOMAIN",,,,,2.3,Y,Footrope damaged,73,75,30,0,10115,Greenland turbot,Reinhardtius hippoglossoides,660,Female,2400,14,,,,6,1,8,16-Oct-20
EBS_SHELF,2015,-698,-14685,201501,162,184,61.99944,-175.79466,62.00135,-175.84258,82,,,,">50 m, N of standard area, between stratum 81 and convention
line and stratum 90",,,,,5.41,Y,Door digging or falling over,88,90,47,0,10115,Greenland turbot,Reinhardtius hippoglossoides,140,Unknown,12,1,,,,6,1,3,16-Oct-20
EBS_SHELF,2015,-697,-14726,201501,94,172,61.02367,-174.86204,61.00264,-174.90007,82,,,,">50 m, N of standard area, between stratum 81 and convention
line and stratum 90",,,,,6.22,Y,Wire out greater than recommended scope,90,92,122,0,10115,Greenland turbot,Reinhardtius hippoglossoides,450,Male,676,,,,,6,1,,16-Oct-20
EBS_SHELF,2015,-697,-14120,201501,94,45,56.99424,-165.22261,57.01961,-165.23701,31,,,,"50-100m in SE section, low density - MIDDLE DOMAIN",,,,,0,Y,Good performance,68,70,1,0,10115,Greenland turbot,Reinhardtius hippoglossoides,580,Female,1648,6,,,,6,1,8,16-Oct-20
EBS_SHELF,2019,-726,-19402,201901,94,165,60.33568,-171.36549,60.33988,-171.31384,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,64,66,16,0,10115,Greenland turbot,Reinhardtius hippoglossoides,720,Female,3500,10,,,,6,1,8,16-Oct-20
EBS_SHELF,2019,-726,-19410,201901,94,169,60.68481,-172.11585,60.65931,-172.10832,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,59,61,24,0,10115,Greenland turbot,Reinhardtius hippoglossoides,640,Female,2555,10,,,,6,1,8,16-Oct-20
EBS_SHELF,2015,-697,-14718,201501,94,164,60.65617,-174.81581,60.68259,-174.81558,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,96,98,118,0,10115,Greenland turbot,Reinhardtius hippoglossoides,190,Male,48,2,,,,6,1,3,16-Oct-20
EBS_SHELF,2017,-711,-16991,201701,162,142,60.65986,-174.12038,60.68313,-174.13668,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,84,86,34,0,10115,Greenland turbot,Reinhardtius hippoglossoides,600,Female,1995,,,,,6,1,,16-Oct-20
EBS_SHELF,2019,-727,-19231,201901,162,125,58.65002,-171.07704,58.66698,-171.07855,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,80,82,1,0,10115,Greenland turbot,Reinhardtius hippoglossoides,710,Female,3530,11,,,,6,1,8,16-Oct-20
EBS_SHELF,2015,-698,-14409,201501,162,146,58.68196,-171.08437,58.65676,-171.07839,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,81,83,10,0,10115,Greenland turbot,Reinhardtius hippoglossoides,500,Female,998,9,,,,6,1,8,16-Oct-20
EBS_SHELF,2015,-698,-14411,201501,162,148,58.33854,-170.96793,58.31319,-170.96649,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,81,83,12,0,10115,Greenland turbot,Reinhardtius hippoglossoides,530,Male,1120,5,,,,6,1,3,16-Oct-20
EBS_SHELF,2016,-706,-15665,201601,94,155,60.6514,-173.46616,60.67714,-173.46338,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,63,65,76,0,10115,Greenland turbot,Reinhardtius hippoglossoides,480,Male,902,6,,,,6,1,8,16-Oct-20
EBS_SHELF,2016,-706,-15667,201601,94,157,60.66666,-174.79105,60.66721,-174.84387,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,95,97,84,0,10115,Greenland turbot,Reinhardtius hippoglossoides,520,Male,1102,7,,,,6,1,8,16-Oct-20
EBS_SHELF,2016,-706,-15667,201601,94,157,60.66666,-174.79105,60.66721,-174.84387,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,95,97,86,0,10115,Greenland turbot,Reinhardtius hippoglossoides,410,Male,502,4,,,,6,1,8,16-Oct-20
EBS_SHELF,2018,-722,-17868,201801,94,144,59.31188,-171.16664,59.33785,-171.16111,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,73,75,7,0,10115,Greenland turbot,Reinhardtius hippoglossoides,540,Female,1268,7,,,,6,1,8,16-Oct-20
EBS_SHELF,2018,-722,-17868,201801,94,144,59.31188,-171.16664,59.33785,-171.16111,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,73,75,10,0,10115,Greenland turbot,Reinhardtius hippoglossoides,600,Male,1828,8,,,,6,1,8,16-Oct-20
